#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," CASA of the 10th Judicial District

",58990131,310 North Alabama Street PO Box 654,Crossett ,AR,71635,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",58990131,https://www.phoenixyouth.com,Description   Court Appointed Special Advocates serving abused and neglected children in the 10th Judicial District of  Arkansas until they reach a safe and permanent home.   ,Description   Court Appointed Special Advocates serving abused and neglected children in the 10th Judicial District of  Arkansas until they reach a safe and permanent home.   ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Phoenix Youth & Family Services 

",55924396,P.O. Box 554,Monticello ,AR,71657,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924396,https://www.optionsstoptheabuse.org,"DescriptionA social, economic, and community development organization whose primary mission is to create opportunities for rural and impoverished residents.","DescriptionA social, economic, and community development organization whose primary mission is to create opportunities for rural and impoverished residents.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Options, Inc.

",55924383,6071 Hwy. 600,Jersey ,AR,71651,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924383,httpss://www.arkansasstateparks.com/morobay/,"DescriptionProvides a crisis hotline, emergency services, and shelter to women affected by domestic violence or sexual assault.","DescriptionProvides a crisis hotline, emergency services, and shelter to women affected by domestic violence or sexual assault.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Moro Bay State Park 

",55320548,5530 Hwy. 165 South,Gillett ,AR,72055,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55320548,httpss://www.arkansasstateparks.com/arkansaspostmuseum/,DescriptionAgency is a state park. ,DescriptionAgency is a state park. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Arkansas Post Museum 

",55180163,50 State Park Road,Star City ,AR,71667,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55180163,httpss://www.arkansasstateparks.com/canecreek/,DescriptionAgency is a state park museum. ,DescriptionAgency is a state park museum. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Cane Creek State Park

",55180180,900 East First,El Dorado ,AR,71730,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55180180,N/A,DescriptionAgency is a state park. ,DescriptionAgency is a state park. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Turning Point 

",55924370,403 West Oak,El Dorado ,AR,71730,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",55924370,https://sharefoundation.com/Interfaith_Clinic.html,DescriptionA comprehensive domestic violence center. ,DescriptionA comprehensive domestic violence center. ,N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Interfaith Clinic

",57648340,512 Champagnolle Road,El Dorado ,AR,71730,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",57648340,N/A,"DescriptionInterfaith Clinic, a service of SHARE Foundation, is a not-for-profit medical clinic that serves a low-income, uninsured or underinsured, population in Union County, AR. Medical and limited pharmacy and dental services are provided at little or no cost to patients. Qualifying patients will not be turned away due to inability to pay.","DescriptionInterfaith Clinic, a service of SHARE Foundation, is a not-for-profit medical clinic that serves a low-income, uninsured or underinsured, population in Union County, AR. Medical and limited pharmacy and dental services are provided at little or no cost to patients. Qualifying patients will not be turned away due to inability to pay.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," Interfaith Help Services

",57648336,100 West Grove Street,El Dorado ,AR,71730,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",57648336,httpss://13southcasa.com/,"DescriptionInterfaith Help Service is a multi-agency, non-profit food pantry and assistance service for individuals in need in Union County, Arkansas.","DescriptionInterfaith Help Service is a multi-agency, non-profit food pantry and assistance service for individuals in need in Union County, Arkansas.",N/A,N/A
ARKANSAS,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs","Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs"," CASA of the South 13th Judicial District

",58786234,912 Mount Holly Rd,El Dorado ,AR,71730,"Crisis HotLine,Emergency Services,domestic violence,food,health,legal assistant,health program,school programs",58786234,httpss://www.facebook.com/Liberty-Baptist-Association-116553538425183/,DescriptionCourt Appointed Special Advocates serving abused and neglected children in the South 13th Judicial District of  Arkansas until they reach a safe and permanent home. ,DescriptionCourt Appointed Special Advocates serving abused and neglected children in the South 13th Judicial District of  Arkansas until they reach a safe and permanent home. ,N/A,N/A
