#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email
California,"Comprehensive Disability Related Employment Programs, , ","Comprehensive Disability Related Employment Programs, , ",  Bakersfield Association for Retarded Citizens on the Move,661-834-2272,2240 South Union AvenueBakersfield,Bakersfield,CA,93307,"Comprehensive Disability Related Employment Programs, , ",661-834-2272,http://www.barc-inc.org,Disabled adults ,"Description	Provides job-training and work opportunities.",N/A,dkyle@barc-inc.org
California,"Soup Kitchens, , ","Soup Kitchens, , ",  Bakersfield Family Church,N/A,106 Wilson AvenueBakersfield,Bakersfield,CA,93308,"Soup Kitchens, , ",N/A,http://www.capk.org/,Open to all.  ,DescriptionProvides a prepared meal.,N/A,info@capk.org
California,"Food Pantries, Prescription Drug Discount Cards, , ","Food Pantries, Prescription Drug Discount Cards, , ",  Veterans of Foreign Wars Building,N/A,15580 O StreetMojave,Mojave,CA,93502,"Food Pantries, Prescription Drug Discount Cards, , ",N/A,http://www.capk.org/,Open to all ,"Description 	Provides a food distribution site and prescription drug discount program card that can be used to get additional savings on prescriptions.	 ",N/A,info@capk.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Alameda County,510-537-2710,N/A,N/A,N/A,N/A,"Internet Information Resources, 211 Systems, , ",510-537-2710,http://www.211alameda.org,Open to all ,"Description 	2-1-1 provides free and confidential information and referral services for health and human services.",N/A,info@edenir.org
California,", ",", ", 2-1-1 California County Transfer Directory,N/A,1505 East 17th Street,N/A,CA,91030,", ",N/A,N/A,Open to all ,Description2-1-1 is a Health and Human Service Directory information that connects callers to resources.,Amy ArambuloOperations Manager877- 355-2604  ext 4,info211@211california.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Contra Costa County,925-939-1916,PO Box 3364Walnut Creek,Creek,CA,94598,"Internet Information Resources, 211 Systems, , ",925-939-1916,http://www.211contracosta.org,Open to all ,"Description	2-1-1 provides free and confidential information and referral services.",N/A,Wradmin@crisis-center.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Fresno and Madera County,866-559-4211,N/A,N/A,N/A,N/A,"Internet Information Resources, 211 Systems, , ",866-559-4211,https://www.uwfm.org/,Open to all ,DescriptionProvides free and confidential information and referral services. Also provides texting assistance.,N/A,info@uwfm.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Kern County,800-273-2275,N/A,N/A,N/A,N/A,"Internet Information Resources, 211 Systems, , ",800-273-2275,http://www.capk.org/211kern,Open to all ,Description2-1-1 Kern provides free and confidential information and referral services that links Kern County residents to health and human services. ,N/A,211kern@capk.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Kings County,559-584-1536,11050 13th AvenueHanford,Hanford,CA,93230,"Internet Information Resources, 211 Systems, , ",559-584-1536,http://www.211kingscounty.org/,Open to all ,"Description	Provides free and confidential information and referral services.	 ",N/A,nanettev@kingsunitedway.org
California,"Developmental Assessment, Internet Information Resources, 211 Systems, , ","Developmental Assessment, Internet Information Resources, 211 Systems, , ", 211 Los Angeles County,626-300-1449,526 West Las Tunas DriveSan Gabriel,Gabriel,CA,91776,"Developmental Assessment, Internet Information Resources, 211 Systems, , ",626-300-1449,https://www.211la.org,Open to all ,"Description	2-1-1 provides free and confidential information and referral services.	 ",N/A,events@211la.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Monterey County,831-372-8026,60 Garden Court,N/A,CA,93940,"Internet Information Resources, 211 Systems, , ",831-372-8026,http://www.211mc.org,Open to all ,"Description  	2-1-1 provides free and confidential information and referral services.",Ronn Rygg                                         211 Director                                      831-372-8026 ext 114,madams@unitedwaymcca.org
California,"211 Systems, , ","211 Systems, , ", 211 Mountain Valley,844-287-7400,658 West Main StreetMerced,Merced,CA,95340,"211 Systems, , ",844-287-7400,http://mountainvalley211.org/,Open to all ,DescriptionProvides free and confidential health and human services information.,N/A,mtnvalley211@gmail.com
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Orange County,949-646-4357,1505 East 17th Street,N/A,CA,92868,"Internet Information Resources, 211 Systems, , ",949-646-4357,http://www.211oc.org,Open to all ,"Description	2-1-1 provides free and confidential information and referral services.",N/A,info@211oc.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Riverside County,951-686-4402,2060 University Avenue #212Riverside,Riverside,CA,92507,"Internet Information Resources, 211 Systems, , ",951-686-4402,http://www.connectriverside.org/contact/,Open to all ,"Description	2-1-1 provides free and confidential information and referral services.",Marie Davis                          CEO                                     ,info@connectriverside.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Sacramento County,916-498-1000,2020 Hurley Way,Way,CA,95825,"Internet Information Resources, 211 Systems, , ",916-498-1000,http://www.211sacramento.org,Open to all ,"Description	Provides free and confidential information and referral services.    	 ",N/A,info@211sacramento.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 San Bernardino County,(760) 242-5370 ,N/A,N/A,N/A,N/A,"Internet Information Resources, 211 Systems, , ",(760) 242-5370 ,http://www.211sb.org,Open to all ,"Description	Provides free and confidential information and referral services for health and social services.",N/A,unitedway@ieuw.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 San Diego,800-227-0997,N/A,N/A,N/A,N/A,"Internet Information Resources, 211 Systems, , ",800-227-0997,http://211sandiego.org/,Open to all ,"Description	2-1-1 San Diego provides free and confidential information and referral services for health and social services.",N/A,info@211sandiego.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 San Francisco,800-273-6222,221 Main Street,N/A,CA,94105,"Internet Information Resources, 211 Systems, , ",800-273-6222,http://www.211bayarea.org,Open to all ,"Description	Provides free and confidential information and referral services for health and social services.",N/A,211@uwba.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 San Luis Obispo,800-549-8989,1288 Morro Street #10San Luis Obispo,Obispo,CA,93401,"Internet Information Resources, 211 Systems, , ",800-549-8989,http://www.unitedwayslo.org,Open to all ,"Description	2-1-1 San Luis Obispo provides free and confidential information and referral services for health and social services.",N/A,info@unitedwayslo.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Santa Barbara,800-400-1572,123 West Gutierrez StreetSanta Barbara,Barbara,CA,93101,"Internet Information Resources, 211 Systems, , ",800-400-1572,http://www.211santabarbaracounty.org/,Open to all ,"Description	Provides free and confidential information and referral services for health and social services.",N/A,ideas@cacsb.com
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Santa Clara,800-273-6222,1922 The AlamedaSan Jose,Jose,CA,95126,"Internet Information Resources, 211 Systems, , ",800-273-6222,http://www.211scc.org/,Open to all ,"Description	2-1-1 Santa Clara provides free and confidential information and referral services for health and social services.	 ",N/A,211@uwsv.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Sonoma County,707-565-2108,2550 Paulin DriveSanta Rosa,Rosa,CA,95401,"Internet Information Resources, 211 Systems, , ",707-565-2108,http://www.211wc.org,Open to all ,"Description	Provides free and confidential information and referral services for health and social services.",N/A,resources@211wc.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Stanislaus County,209-572-2255,N/A,N/A,N/A,N/A,"Internet Information Resources, 211 Systems, , ",209-572-2255,http://www.uwaystan.org/,Open to all ,"Description	Provides information and referral services for health and social services.",N/A,info@uwaystan.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Tulare County,559-685-1766,1601 East Prosperity AvenueTulare,Tulare,CA,93274,"Internet Information Resources, 211 Systems, , ",559-685-1766,http://www.211tularecounty.org,Open to all ,Description2-1-1 provides free and confidential information and referral services for health and social services for Tulare County.,N/A,contact@unitedwaytc.org
California,"Internet Information Resources, 211 Systems, , ","Internet Information Resources, 211 Systems, , ", 211 Ventura County,800-339-9597,4001 Mission Oaks Ave,Ave,CA,93012,"Internet Information Resources, 211 Systems, , ",800-339-9597,http://www.211ventura.org,Open to all ,DescriptionProvides free and confidential information and referral services for health and social services for Ventura County.,Kelly Brown 211 Director805-485-6114,211@icfs.org
California,", ",", ", Chateau D' Bakersfield,866-915-3574,824 18th StreetBakersfield,Bakersfield,CA,93301,", ",866-915-3574,http://www.chateauadhc.com,18 years of age or older with physical or mental impairments. ,"Description 	Provides independent living skills training, mental wellness groups, medical monitoring, physical therapy maintenance, occupational therapy maintenance, psychological assessments and treatment, medical social services, speech therapy and nutritional screening.	 ",Anu Mohaun                                        Psychologist                                      ,chateau_bf@sbcglobal.net
California,"Independent Living Skills Instruction, , ","Independent Living Skills Instruction, , ", Chateau D' Bakersfield,661-322-4085,824 18th Street Bakersfield,Bakersfield,CA,93301,"Independent Living Skills Instruction, , ",661-322-4085,http://www.chateauadhc.com,18 years of age or older with physical or mental impairments. ,"Description  Provides independent living skills training, mental wellness groups, medical monitoring, physical therapy maintenance, occupational therapy maintenance, psychological assessments and treatment, medical social services, speech therapy and nutritional screening.	 ",Anu Mohuan                                        Psychologist                                      ,chateau_bf@sbcglobal.net
California,", ",", ", Chester Avenue Community Church,N/A,1509 South Chester AvenueBakersfield,Bakersfield,CA,93304,", ",N/A,https://www.chesteravenuechurch.com/,Open to all. ,DescriptionProvides assistance with emergency food boxes. ,Don Mclean     Coordinator,Caccsec@gmail.com
California,"Family Violence Prevention, , ","Family Violence Prevention, , ", Child Abuse Prevention Information and Referral Helpline,760-375-7100,134 South China Lake BoulevardRidgecrest,Ridgecrest,CA,93555,"Family Violence Prevention, , ",760-375-7100,http://womenscenterhighdesert.org/,Open to all. ,"Description 	Provides information and referrals for individuals seeking assistance with child abuse. 	 ",Denise Gossage                                    Program Coordinator                               ,womenscenter.hd@verizon.net
California,"Early Head Start, Head Start, , ","Early Head Start, Head Start, , ", Child Education and Development Services ,661-336-5236,5005 Business Park NorthBakersfield,NorthBakersfield,CA,93309,"Early Head Start, Head Start, , ",661-336-5236,http://www.capk.org/head-start,Must meet income guidelines. ,"Description 	Provides Early Head Start services at various learning centers located throughout Kern County. The home-based service delivery option meet weekly with families in their homes to promote positive family health and development.  	 ",N/A,info@capk.org
California,"Child Health and Disability Prevention Exams, , ","Child Health and Disability Prevention Exams, , ", Child Health and Disability Prevention,661-321-3000,1800 Mount Vernon AvenueBakersfield,Bakersfield,CA,93306,"Child Health and Disability Prevention Exams, , ",661-321-3000,http://kernpublichealth.com/,"Medi-Cal recipients 0-20 years old, 200% below poverty level, children currently in head start or state pre-school. ","Description 	Provides children and youth regular preventive health assessments to identify health problems. Those with suspected problems are then referred for necessary diagnosis and treatment. 	 ",N/A,publichealth@kerncounty.com
California,"Child Passenger Safety Seats, , ","Child Passenger Safety Seats, , ", Child Passenger Seat Program ,661-321-3000,1800 Mount Vernon AvenueBakersfield,Bakersfield,CA,93306,"Child Passenger Safety Seats, , ",661-321-3000,http://kernpublichealth.com/carseat/,"Provides car seat once per lifetime of the program. A parent or guardian of a child between the ages of 0 to 12 years old who can show proof of qualifying for the WIC, Cal-Fresh, or Healthy Families programs. ",DescriptionProvides car seat education -online class. Also provides car seats once a lifetime of program (per availability of car seats).,N/A,publichealth@kerncounty.com
California,"Children's Protective Services, , ","Children's Protective Services, , ", Child Protective Services,661-631-6011,100 East California AvenueBakersfield,Bakersfield,CA,93307,"Children's Protective Services, , ",661-631-6011,http://www.co.kern.ca.us/dhs/,"Abused and/or neglected children, adolescents and their families. ","Description	Provides Emergency Response Program with  24-hour response system designed to receive, investigate, and evaluate reports of child abuse and neglect. In emergency situations, an immediate, in-person response is made by a social worker in accordance with department regulations. Non-emergency situations are responded to within 10 days.",Antanette Jones                                   Assistant Director - CPS                          ,jonesa@co.kern.ca.us
