#4Help Main Categories,Sub-Category,Sub Sub-category,Name of Service,Hot Line or Help Line Phone Number or Fax Number,Street Address,City or Town,State,ZipCode,Keyword Using Categories,Business Phone Number,Website,Services Provided,Brief Description,Contact Person,Contact Person Email,Short Code
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Adopt-A-Family, New Castle County",(302) 792-6511,"100 West 10th Street, Suite 315",Wilmington,DE,19801,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 792-6510,https://www.aidsdelaware.org,"Adopt-A-Family is coordinated by the Division of State Service Centers with the assistance of the Human Services Council, Inc. and provides 6 programs statewide to help families in crisis or transition.Â  All programs, except the Clothes Closet, are referral-based and require a referral from social workers through a State Service Center or other community non-profit social service agency. Â Household Program â provides critical household items for bedroom, bathroom, kitchen, laundry room and general household needs such as brooms, mops, vacuums, lamps, etc..Â  Items can be provided when a family or individual has lost their possessions through no fault of their own. (Offered in Kent/Sussex Counties Only)Personal Hygiene/Cleaning Supply Program â provides general hygiene and cleaning supplies to families in crisis through no fault of their own. (Offered in Kent/Sussex Counties Only)Emergency Assistance â provides emergency assistance to families faced with a crisis that requires monetary assistance such as shelter, utilities and medical care. Â (Offered in New Castle County Only)Adopt-A-Mom â provides care packages to families in need of baby care items for children up to 24 months, such as diapers, clothing, and personal care items.Â  (Does not provide Formula, Food or Car Seats) (Offered Statewide)Adopt-A-Student â provides backpacks, new school supplies and gift cards for uniforms to children in need.Â  The goal of this program is to encourage a positive attitude toward school by helping each student start the school year with the necessary supplies to achieve success.Â  (Offered Statewide)Holiday Program â operates October through December and anonymously matches sponsors with children, persons with documented disabilities, and seniors living at or below 133% of federal poverty level and who have not received assistance from the program in the prior year.Â Â  (Offered Statewide)Clothing Closet â Makes donated new and used clothing available to both adults and children FREE throughout the year on Wednesdays from 9:30 a.m. â 12:00 Noon (not operational in July and August).Â  Operates in partnership with Hanover Presbyterian Church at 18th & Baynard Blvd., in Wilmington, DE.Â  (Offered in New Castle County Only)Adopt-A-Family accepts tax-deductible donations throughout the year from companies and private individuals to support our 6 programs.Â  Checks should be made payable to Adopt-A-Family.Â  Adopt-A-Family is a United Way designation write-in agency (Code #9102).","Adopt-A-Family is coordinated by the Division of State Service Centers with the assistance of the Human Services Council, Inc. and provides 6 programs statewide to help families in crisis or transition.Â  All programs, except the Clothes Closet, are referral-based and require a referral from social workers through a State Service Center or other community non-profit social service agency. Â Household Program â provides critical household items for bedroom, bathroom, kitchen, laundry room and general household needs such as brooms, mops, vacuums, lamps, etc..Â  Items can be provided when a family or individual has lost their possessions through no fault of their own. (Offered in Kent/Sussex Counties Only)Personal Hygiene/Cleaning Supply Program â provides general hygiene and cleaning supplies to families in crisis through no fault of their own. (Offered in Kent/Sussex Counties Only)Emergency Assistance â provides emergency assistance to families faced with a crisis that requires monetary assistance such as shelter, utilities and medical care. Â (Offered in New Castle County Only)Adopt-A-Mom â provides care packages to families in need of baby care items for children up to 24 months, such as diapers, clothing, and personal care items.Â  (Does not provide Formula, Food or Car Seats) (Offered Statewide)Adopt-A-Student â provides backpacks, new school supplies and gift cards for uniforms to children in need.Â  The goal of this program is to encourage a positive attitude toward school by helping each student start the school year with the necessary supplies to achieve success.Â  (Offered Statewide)Holiday Program â operates October through December and anonymously matches sponsors with children, persons with documented disabilities, and seniors living at or below 133% of federal poverty level and who have not received assistance from the program in the prior year.Â Â  (Offered Statewide)Clothing Closet â Makes donated new and used clothing available to both adults and children FREE throughout the year on Wednesdays from 9:30 a.m. â 12:00 Noon (not operational in July and August).Â  Operates in partnership with Hanover Presbyterian Church at 18th & Baynard Blvd., in Wilmington, DE.Â  (Offered in New Castle County Only)Adopt-A-Family accepts tax-deductible donations throughout the year from companies and private individuals to support our 6 programs.Â  Checks should be made payable to Adopt-A-Family.Â  Adopt-A-Family is a United Way designation write-in agency (Code #9102).",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","AIDS Delaware, New Castle County",(302) 652-5150,2020 Firedancer LN,Bear,DE,19701,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 652-6776,N/A,"AIDS Delaware, Inc. provides HIV testing, education, and supportive services to clients of all races, sexual orientation and socio-economic backgrounds in Delaware. The agency operates a food and personal products closet serving needy clients who are living with HIV.ÃÂ Kent/Sussex County office offers case management services.","AIDS Delaware, Inc. provides HIV testing, education, and supportive services to clients of all races, sexual orientation and socio-economic backgrounds in Delaware. The agency operates a food and personal products closet serving needy clients who are living with HIV.ÃÂ Kent/Sussex County office offers case management services.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Alpha Worship Center, Pantry of Hope",(302) 325-3932,122 Silver Lake Road,Middletown,DE,19709,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 276-0270,https://www.state.de.us/dhss/dssc/appoquin.htm,"The Pantry of Hope operates an emergency food closet. They also have a weekly food distribution program every Wednesday. They serve referrals from all Delaware agencies, churches, and organizations.","The Pantry of Hope operates an emergency food closet. They also have a weekly food distribution program every Wednesday. They serve referrals from all Delaware agencies, churches, and organizations.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",Appoquinimink State Service Center,302-696-3121,300 East Basin Road,New Castle,DE,19720,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",302-696-3120,https://asburynewcastle.net,"	Appoquinimink State Service Center provides the following services: Emergency Assistance, Community Resource and Assistance Program. 	This State Service Center also houses various state and private agencies that provide human services including: Christiana Care-School Based Wellness Center; Division of Social Services - Public Assistance and Medicaid; Department of Labor - Division of Vocational Rehabilitation; Department of Services for Children, Youth and Their Families- Division of Family Services. Food Closet: Monday-Friday, 8:00am - 3:30pm--Walkins Welcome, No referral required, Photo ID required, do not need Public Assistance.","	Appoquinimink State Service Center provides the following services: Emergency Assistance, Community Resource and Assistance Program. 	This State Service Center also houses various state and private agencies that provide human services including: Christiana Care-School Based Wellness Center; Division of Social Services - Public Assistance and Medicaid; Department of Labor - Division of Vocational Rehabilitation; Department of Services for Children, Youth and Their Families- Division of Family Services. Food Closet: Monday-Friday, 8:00am - 3:30pm--Walkins Welcome, No referral required, Photo ID required, do not need Public Assistance.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",Asbury's Food Pantry,(302) 328-5649,310 Kiamensi Road,Newport,DE,19804,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 328-5649,https://www.state.de.us/dhss/dscc/belveder.htm,"Asbury's Food Pantry provides food to assist those in need in the community, offering prepackaged nonperishable items. Client must have a photo ID, THERE IS NO REFERRAL NECESSARY.Â  Distribution of food in fellowship hall next door to daycare.","Asbury's Food Pantry provides food to assist those in need in the community, offering prepackaged nonperishable items. Client must have a photo ID, THERE IS NO REFERRAL NECESSARY.Â  Distribution of food in fellowship hall next door to daycare.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",Belvedere State Service Center,(302) 633-3720,34180 Omar Road,Frankford,DE,19945,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 892-5970,N/A,"Belvedere State Service Center houses various state and private human service providers including: Public Health (Children Dental Clinic). The State Service Center services include: low income dental transportation for children; holiday baskets, Toys for Tots and Community Resource Assistance Services. Belvedere offers a food pantry and referral to pantries for clients in need of food. Areas served include 19707, 19804, 19808 and 19805. (clients in 19805: must reside in either Elsmere, Kirkwood Highway or Maryland Avenue areas)","Belvedere State Service Center houses various state and private human service providers including: Public Health (Children Dental Clinic). The State Service Center services include: low income dental transportation for children; holiday baskets, Toys for Tots and Community Resource Assistance Services. Belvedere offers a food pantry and referral to pantries for clients in need of food. Areas served include 19707, 19804, 19808 and 19805. (clients in 19805: must reside in either Elsmere, Kirkwood Highway or Maryland Avenue areas)",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Bethel Tabernacle Church of God, Helping Hands Food Bank",(302) 539-6768,N/A,N/A,N/A,N/A,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 539-6768,N/A,Operates a food closet for those in need and also reside in service area.,Operates a food closet for those in need and also reside in service area.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Blessed Givings, Emergency Food Program",(302) 422-3963,400 Mill Street,Bridgeville,DE,19933,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 339-3905,N/A,Provides emergency food and goods for children and their families. Provides monthly groceries to the elderly population on set incomes.,Provides emergency food and goods for children and their families. Provides monthly groceries to the elderly population on set incomes.,N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",Bridgeville State Service Center,302-337-8261,1141 East Lebanon Road,Dover,DE,19901,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 721-7000,https://calvarydover.org,"The Bridgeville State Service Center service providers include Social Services and State Service Centers. State Service Center services include: Community Resource Assistance Service, Emergency Assistance Programs, Utility Fund, Needy Family Fund, Diabetes Fund etc. Bridgeville State Service Center has a food pantry for those in need of emergency food.","The Bridgeville State Service Center service providers include Social Services and State Service Centers. State Service Center services include: Community Resource Assistance Service, Emergency Assistance Programs, Utility Fund, Needy Family Fund, Diabetes Fund etc. Bridgeville State Service Center has a food pantry for those in need of emergency food.",N/A,N/A,
Delaware,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program","Calvary Assembly of God, Emergency Food Closet",(302) 697-7335,127 Broad Street,Milton,DE,19968,"Food ,Emergency Food ,Soup Kitchens ,Food Collection and Storage ,Commodity Supplemental Food Program",(302) 697-7776,https://www.ccwilm.org,Emergency Food Closet is by appointment only. No walk-ins accepted.,Emergency Food Closet is by appointment only. No walk-ins accepted.,N/A,N/A,
